text,label
"Urgent: Your account has been suspended due to suspicious activity. Click here to verify your identity.",1
"Dear customer, we noticed a login attempt from a new device. Please update your security settings immediately.",1
"Congratulations! You've won a $1000 Amazon gift card. Claim your prize by clicking the link below.",1
"Security Alert: Your bank account will be locked in 24 hours if you do not confirm your personal details.",1
"Final Notice: Your subscription has expired. Update your payment method here to avoid service interruption.",1
"Your PayPal account is restricted. Log in to our secure portal to resolve this issue.",1
"Package delivery failed. We need your address verification to reschedule shipping. Click here.",1
"Action Required: Unusual sign-in activity detected on your account. Please reset your password.",1
"Verify your email address to continue using our services and avoid account deactivation.",1
"Official Tax Refund: You are eligible for a refund of $450. Submit your details to receive payment.",1
"WARNING: Your email storage is full. Upgrade now or lose incoming messages.",1
"Immediate action required: Invoice #89234 is overdue. Please pay via the attached link.",1
"You have a pending voice message. Click here to listen to the audio file.",1
"Hi Team, please find the updated project timeline attached for your review.",0
"Regarding our meeting tomorrow, does 3:00 PM work for everyone?",0
"Your Amazon order has been shipped and is expected to arrive by Thursday.",0
"Can you please send me the login credentials for the staging server?",0
"The latest monthly newsletter is now available on our company portal.",0
"Reminder: Your dental appointment is scheduled for next Tuesday at 10:30 AM.",0
"Thanks for the help with the ML assignment today, I really appreciate it!",0
"Your monthly utility bill is ready for viewing. Log in to your account to see the statement.",0
"The deadline for the mini-project report has been extended to Friday afternoon.",0
"Are we still on for dinner tonight at the usual spot?",0
"Please review the attached SRS document and let me know if any changes are needed.",0
"Happy Birthday! Hope you have a wonderful day and a great year ahead.",0
"The system maintenance is scheduled for this weekend. Expect 2 hours of downtime.",0
"Critical Alert: Your Bitcoin wallet has been accessed from a new IP. Secure your funds immediately.",1
"Your MetaMask wallet requires verification. Click here to confirm your recovery phrase.",1
"Binance Security: Withdrawals have been suspended on your account. Verify identity to restore access.",1
"You have received 0.54 BTC! Log in to your dashboard to claim your cryptocurrency.",1
"Coinbase Alert: A transaction of $4,500 is pending. If this wasn't you, cancel it here.",1
"Airdrop claim successful! Connect your wallet to receive your exclusive tokens.",1
"Notice: We detected unauthorized login attempts on your crypto exchange account. Reset password now.",1
"Your Trust Wallet needs a security upgrade. Please sync your wallet using the link provided.",1
"Reminder: Your crypto assets will be frozen in 2 hours due to policy violations. Act now.",1
"Congratulations! You've been selected for our exclusive Ethereum giveaway. Click to participate.",1
"Netflix: Your latest payment was declined. Please update your billing information to continue watching.",1
"Action required: Your Spotify Premium subscription is paused. Update your card details today.",1
"Hulu Support: We could not process your monthly payment. Avoid account suspension by clicking here.",1
"Disney+ Alert: Your account password has been compromised. Please secure your account immediately.",1
"Your Amazon Prime membership expires today. Renew now to keep your benefits.",1
"HBO Max: A new device has signed into your account. If this wasn't you, click here to lock it.",1
"Apple TV+: Your free trial is ending. Please confirm your payment details to avoid interruption.",1
"Your streaming service bundle will be deactivated in 24 hours. Verify your account to prevent this.",1
"Payment Failed: We were unable to renew your Netflix plan. Update your details here.",1
"YouTube Premium: Your account has been suspended for violating our terms. Appeal here.",1
"IT Helpdesk: Your Office 365 password expires in 2 hours. Click here to keep the same password.",1
"Administrator: Your mailbox has exceeded its storage limit. Upgrade your quota to receive new emails.",1
